dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
1939-10-01,26.616,0.304,Acre,Brazil
1939-11-01,26.494,0.772,Acre,Brazil
1939-12-01,26.185,0.347,Acre,Brazil
1940-01-01,26.076,0.441,Acre,Brazil
1940-02-01,26.95,0.742,Acre,Brazil
1940-03-01,26.866,0.544,Acre,Brazil
1940-04-01,26.122,0.444,Acre,Brazil
1940-05-01,26.014,0.385,Acre,Brazil
1940-06-01,25.881,0.633,Acre,Brazil
1940-07-01,25.766,1.406,Acre,Brazil
1940-08-01,26.079,0.763,Acre,Brazil
1940-09-01,26.96,0.477,Acre,Brazil
1940-10-01,26.693,0.4,Acre,Brazil
1940-11-01,26.637,0.424,Acre,Brazil
1940-12-01,26.386,0.501,Acre,Brazil
1941-01-01,26.453,0.543,Acre,Brazil
1941-02-01,26.64,0.496,Acre,Brazil
1941-03-01,26.938,0.437,Acre,Brazil
1941-04-01,26.63,0.418,Acre,Brazil
1941-05-01,26.105,0.295,Acre,Brazil
1941-06-01,24.575,0.692,Acre,Brazil
1941-07-01,25.554,0.363,Acre,Brazil
1941-08-01,26.078,0.441,Acre,Brazil
1941-09-01,26.49,0.52,Acre,Brazil
1941-10-01,27.084,0.204,Acre,Brazil
1941-11-01,27.156,1.105,Acre,Brazil
1941-12-01,26.427,0.449,Acre,Brazil
1942-01-01,26.746,0.184,Acre,Brazil
1942-02-01,26.895,0.496,Acre,Brazil
1942-03-01,26.725,0.439,Acre,Brazil
1942-04-01,25.63,1.503,Acre,Brazil
1942-05-01,25.535,0.476,Acre,Brazil
1942-06-01,24.551,1.223,Acre,Brazil
1942-07-01,24.056,1.859,Acre,Brazil
1942-08-01,26.332,0.392,Acre,Brazil
1942-09-01,26.737,0.484,Acre,Brazil
1942-10-01,26.514,0.322,Acre,Brazil
1942-11-01,26.887,0.922,Acre,Brazil
1942-12-01,26.263,0.364,Acre,Brazil
1943-01-01,26.36,0.566,Acre,Brazil
1943-02-01,26.253,0.765,Acre,Brazil
1943-03-01,25.83,0.386,Acre,Brazil
1943-04-01,25.657,0.674,Acre,Brazil
1943-05-01,25.502,0.434,Acre,Brazil
1943-06-01,24.754,0.421,Acre,Brazil
1943-07-01,24.667,0.415,Acre,Brazil
1943-08-01,24.793,1.034,Acre,Brazil
1943-09-01,26.331,0.348,Acre,Brazil
1943-10-01,26.684,0.501,Acre,Brazil
1943-11-01,26.54,0.389,Acre,Brazil
1943-12-01,26.032,0.799,Acre,Brazil
1944-01-01,25.702,0.455,Acre,Brazil
1944-02-01,25.97,0.531,Acre,Brazil
1944-03-01,26.055,0.354,Acre,Brazil
1944-04-01,25.7,0.496,Acre,Brazil
1944-05-01,25.907,0.507,Acre,Brazil
1944-06-01,25.157,0.567,Acre,Brazil
1944-07-01,25.021,0.825,Acre,Brazil
1944-08-01,26.618,0.287,Acre,Brazil
1944-09-01,26.588,0.703,Acre,Brazil
1944-10-01,26.62,0.331,Acre,Brazil
1944-11-01,26.425,0.394,Acre,Brazil
1944-12-01,26.145,0.311,Acre,Brazil
1945-01-01,26.15,0.728,Acre,Brazil
1945-02-01,26.175,0.416,Acre,Brazil
1945-03-01,26.662,0.436,Acre,Brazil
1945-04-01,26.247,0.445,Acre,Brazil
1945-05-01,24.6,1.27,Acre,Brazil
1945-06-01,24.805,1.204,Acre,Brazil
1945-07-01,24.966,0.456,Acre,Brazil
1945-08-01,26.588,0.4,Acre,Brazil
1945-09-01,27.02,0.462,Acre,Brazil
1945-10-01,25.849,0.486,Acre,Brazil
1945-11-01,26.418,0.506,Acre,Brazil
1945-12-01,25.97,0.507,Acre,Brazil
1946-01-01,26.326,0.893,Acre,Brazil
1946-02-01,26.424,0.638,Acre,Brazil
1946-03-01,26.458,0.49,Acre,Brazil
1946-04-01,26.195,0.417,Acre,Brazil
1946-05-01,25.842,0.425,Acre,Brazil
1946-06-01,25.197,0.616,Acre,Brazil
1946-07-01,24.774,0.783,Acre,Brazil
1946-08-01,25.967,0.391,Acre,Brazil
1946-09-01,26.751,0.364,Acre,Brazil
1946-10-01,26.107,0.359,Acre,Brazil
1946-11-01,26.383,0.458,Acre,Brazil
1946-12-01,25.925,0.507,Acre,Brazil
1947-01-01,26.001,0.428,Acre,Brazil
1947-02-01,26.167,0.539,Acre,Brazil
1947-03-01,26.561,0.553,Acre,Brazil
1947-04-01,26.125,0.472,Acre,Brazil
1947-05-01,25.277,0.702,Acre,Brazil
1947-06-01,25.404,0.678,Acre,Brazil
1947-07-01,24.403,0.922,Acre,Brazil
1947-08-01,25.567,0.331,Acre,Brazil
1947-09-01,26.365,0.576,Acre,Brazil
1947-10-01,26.342,0.563,Acre,Brazil
